"Service","Usage_Type","Cost_USD"
"AmazonEC2","BoxUsage:t3.small","3.1247377616"
"AmazonVPC","USE1-PublicIPv4:InUseAddress","0.79089584"
"AmazonEC2","EBS:VolumeUsage.gp3","0.2132075835"
"AmazonEC2","DataTransfer-Regional-Bytes","0.12740494930000001"
"AmazonEC2","EBS:VolumeIOUsage","0.0388347"
"AmazonEC2","EBS:SnapshotUsage","0.03875387330000001"
"AmazonEC2","EBS:VolumeUsage","0.0351410386"
"AmazonEC2","BoxUsage:t3.micro","0.0297757824"
"AmazonEC2","EBS:VolumeP-IOPS.gp3","0.0075967262"
"AmazonEC2","BoxUsage:m5.large","0.005226624"
"AmazonS3","Requests-Tier1","4.000000000000004E-4"
"AmazonS3","Requests-Tier2","6.480000000000003E-5"
"AmazonDynamoDB","WriteRequestUnits","2.9375000000000003E-5"
"AWSSecretsManager","USE1-AWSSecretsManagerAPIRequest","1.5000000000000002E-5"
"AmazonEC2","EBS:VolumeUsage.gp2","2.4802E-6"
"AmazonDynamoDB","ReadRequestUnits","2.5E-7"
"AmazonEC2","USE1-USW2-AWS-Out-Bytes","6.75E-8"
"AmazonEC2","USE1-USE2-AWS-Out-Bytes","5.63E-8"
"AmazonS3","TimedStorage-ByteHrs","3.17E-8"
"AmazonEC2","USE1-EU-AWS-Out-Bytes","2.1E-9"
