Service,Usage_Type,Cost_USD
AmazonEC2,BoxUsage:t3.small,3.124737762
AmazonVPC,USE1-PublicIPv4:InUseAddress,0.79089584
AmazonEC2,EBS:VolumeUsage.gp3,0.213207584
AmazonEC2,DataTransfer-Regional-Bytes,0.127404949
AmazonEC2,EBS:VolumeIOUsage,0.0388347
AmazonEC2,EBS:SnapshotUsage,0.038753873
AmazonEC2,EBS:VolumeUsage,0.035141039
AmazonEC2,BoxUsage:t3.micro,0.029775782
AmazonEC2,EBS:VolumeP-IOPS.gp3,0.007596726
AmazonEC2,BoxUsage:m5.large,0.005226624
AmazonS3,Requests-Tier1,4.00E-04
AmazonS3,Requests-Tier2,6.48E-05
AmazonDynamoDB,WriteRequestUnits,2.94E-05
AWSSecretsManager,USE1-AWSSecretsManagerAPIRequest,1.50E-05
AmazonEC2,EBS:VolumeUsage.gp2,2.48E-06
AmazonDynamoDB,ReadRequestUnits,2.50E-07
AmazonEC2,USE1-USW2-AWS-Out-Bytes,6.75E-08
AmazonEC2,USE1-USE2-AWS-Out-Bytes,5.63E-08
AmazonS3,TimedStorage-ByteHrs,3.17E-08
AmazonEC2,USE1-EU-AWS-Out-Bytes,2.10E-09
